
[node 1]
ram_reads = 0
ram_writes = 0
ssd_reads = 0
ssd_writes = 0
hdd_reads = 0
hdd_writes = 0
cache_hits = 356997
cache_misses = 557148
cache_replacements = 556148
cache status --------------------------------
ARC cache size = 1000
p = 47, |L1| = 1000, |L2| = 1000

[B2 - LRU (49)]
[  861] 0, 173608, 4
[ 1700] 0, 54821, 4
[  251] 0, 175346, 4
[ 1625] 0, 175379, 4
[   96] 0, 115106, 4
[ 1223] 0, 184438, 4
[ 1759] 0, 185437, 4
[  626] 0, 185438, 4
[  910] 0, 80026, 4
[ 1875] 0, 8462, 4
[  465] 0, 29401, 4
[ 1010] 0, 95677, 4
[  397] 0, 95678, 4
[ 1384] 0, 75062, 4
[ 1731] 0, 2131, 4
[ 1822] 0, 2133, 4
[  795] 0, 185471, 4
[ 1896] 0, 111735, 4
[ 1124] 0, 1390, 4
[ 1746] 0, 40966, 4
[  525] 0, 185478, 4
[   88] 0, 25511, 4
[ 1451] 0, 4261, 4
[  757] 0, 37324, 4
[ 1768] 0, 4275, 4
[ 1100] 0, 38562, 4
[ 1641] 0, 185162, 4
[ 1255] 0, 6148, 4
[ 1767] 0, 58185, 4
[  544] 0, 185483, 4
[ 1854] 0, 13217, 4
[  515] 0, 83770, 4
[  178] 0, 64266, 4
[  113] 0, 67151, 4
[ 1579] 0, 58889, 4
[ 1410] 0, 144595, 4
[ 1692] 0, 144612, 4
[ 1416] 0, 10110, 4
[  627] 0, 46947, 4
[  169] 0, 173643, 4
[ 1283] 0, 184910, 4
[  999] 0, 171352, 4
[ 1212] 0, 36186, 4
[  112] 0, 185496, 4
[ 1178] 0, 185430, 4
[  280] 0, 185431, 4
[   54] 0, 107029, 4
[  406] 0, 4352, 4
[ 1286] 0, 71867, 4
[B2 - MRU]
[T2 - LRU (951)]
[  505] 0, 182467, 3
[ 1180] 0, 182468, 3
[   23] 0, 185184, 3
[ 1251] 0, 185240, 3
[  781] 0, 4351, 3
[ 1111] 0, 182242, 3
[ 1015] 0, 185258, 3
[ 1503] 0, 185406, 3
[  359] 0, 185129, 3
[  257] 0, 169631, 3
[  940] 0, 176540, 3
[ 1947] 0, 175155, 3
[  987] 0, 13275, 3
[ 1203] 0, 13259, 3
[   34] 0, 70316, 3
[ 1457] 0, 113432, 3
[ 1916] 0, 185112, 3
[ 1241] 0, 185510, 3
[ 1826] 0, 185458, 3
[  585] 0, 174661, 3
[ 1448] 0, 64804, 3
[  967] 0, 185505, 3
[  163] 0, 8760, 3
[  402] 0, 185533, 3
[ 1261] 0, 161406, 3
[ 1134] 0, 183338, 3
[ 1407] 0, 179931, 3
[  450] 0, 181054, 3
[ 1420] 0, 8612, 3
[ 1508] 0, 8587, 3
[  693] 0, 4516, 3
[ 1607] 0, 183899, 3
[ 1805] 0, 24627, 3
[ 1618] 0, 83445, 3
[  563] 0, 137792, 3
[  197] 0, 137787, 3
[ 1970] 0, 969, 3
[  920] 0, 5145, 3
[  452] 0, 185577, 3
[ 1422] 0, 185572, 3
[ 1259] 0, 2329, 3
[  722] 0, 4154, 3
[  796] 0, 8196, 3
[   20] 0, 185599, 3
[  149] 0, 185591, 3
[ 1808] 0, 185587, 3
[  696] 0, 38884, 3
[  883] 0, 38890, 3
[ 1249] 0, 185341, 3
[ 1369] 0, 185490, 3
[ 1226] 0, 151503, 3
[  779] 0, 151507, 3
[ 1671] 0, 178178, 3
[ 1250] 0, 184822, 3
[ 1504] 0, 185619, 3
[ 1627] 0, 185529, 3
[  343] 0, 185530, 3
[  969] 0, 160141, 3
[  827] 0, 160107, 3
[  813] 0, 185428, 3
[ 1399] 0, 14706, 3
[ 1260] 0, 104265, 3
[  746] 0, 9135, 3
[  302] 0, 23744, 3
[ 1543] 0, 9173, 3
[  895] 0, 182244, 3
[  833] 0, 184709, 3
[   56] 0, 185624, 3
[ 1132] 0, 3834, 3
[ 1979] 0, 185462, 3
[  384] 0, 185454, 3
[ 1835] 0, 3829, 3
[  262] 0, 24947, 3
[ 1633] 0, 25063, 3
[ 1242] 0, 184995, 3
[ 1922] 0, 184996, 3
[ 1601] 0, 156459, 3
[  964] 0, 185637, 3
[ 1521] 0, 39105, 3
[ 1059] 0, 51550, 3
[ 1257] 0, 185435, 3
[ 1707] 0, 185436, 3
[ 1927] 0, 64513, 3
[   14] 0, 31022, 3
[  283] 0, 126895, 3
[ 1336] 0, 63253, 3
[  234] 0, 73758, 3
[ 1674] 0, 184419, 3
[  519] 0, 161442, 3
[ 1330] 0, 55625, 3
[   42] 0, 185640, 3
[ 1577] 0, 185631, 3
[  905] 0, 149959, 3
[ 1990] 0, 185639, 3
[ 1921] 0, 10850, 3
[ 1397] 0, 328, 3
[  305] 0, 1020, 3
[ 1373] 0, 184426, 3
[  312] 0, 9524, 3
[  569] 0, 84103, 3
[   40] 0, 1832, 3
[  932] 0, 182546, 3
[ 1590] 0, 184164, 3
[ 1314] 0, 12141, 3
[  116] 0, 83122, 3
[ 1894] 0, 111145, 3
[  575] 0, 520, 3
[  480] 0, 185648, 3
[  598] 0, 15607, 3
[ 1454] 0, 172548, 3
[ 1087] 0, 7719, 3
[ 1974] 0, 1841, 3
[  209] 0, 122559, 3
[ 1115] 0, 122557, 3
[ 1505] 0, 176271, 3
[  541] 0, 177009, 3
[  986] 0, 70558, 3
[ 1563] 0, 25563, 3
[   92] 0, 185706, 3
[  416] 0, 185694, 3
[ 1656] 0, 176265, 3
[ 1853] 0, 25733, 3
[ 1021] 0, 83707, 3
[  608] 0, 185704, 3
[  412] 0, 86746, 3
[ 1108] 0, 4442, 3
[  834] 0, 171316, 3
[ 1097] 0, 180409, 3
[ 1895] 0, 22665, 3
[ 1646] 0, 172301, 3
[ 1078] 0, 184591, 3
[  134] 0, 185722, 3
[   81] 0, 173611, 3
[  368] 0, 185716, 3
[ 1931] 0, 280, 3
[ 1409] 0, 185468, 3
[ 1613] 0, 185475, 3
[ 1745] 0, 4446, 3
[  609] 0, 12165, 3
[ 1821] 0, 173128, 3
[  119] 0, 82652, 3
[ 1340] 0, 2735, 3
[ 1351] 0, 14989, 3
[ 1107] 0, 1021, 3
[ 1266] 0, 1022, 3
[ 1437] 0, 185742, 3
[  193] 0, 185729, 3
[  126] 0, 3131, 3
[  970] 0, 3132, 3
[  714] 0, 84702, 3
[  838] 0, 84061, 3
[ 1712] 0, 1809, 3
[  897] 0, 185744, 3
[ 1709] 0, 37021, 3
[ 1980] 0, 185608, 3
[  777] 0, 1232, 3
[ 1435] 0, 28654, 3
[ 1423] 0, 74063, 3
[ 1509] 0, 62727, 3
[  431] 0, 175532, 3
[  303] 0, 1161, 3
[ 1060] 0, 126, 3
[  287] 0, 175750, 3
[ 1350] 0, 175763, 3
[  862] 0, 4689, 3
[  372] 0, 4676, 3
[  962] 0, 67919, 3
[ 1480] 0, 175497, 3
[ 1515] 0, 175544, 3
[  352] 0, 175513, 3
[  326] 0, 40323, 3
[   76] 0, 185800, 3
[ 1131] 0, 146504, 3
[ 1945] 0, 185790, 3
[   38] 0, 174928, 3
[  507] 0, 4538, 3
[ 1028] 0, 174931, 3
[  256] 0, 185822, 3
[ 1211] 0, 185233, 3
[ 1328] 0, 73682, 3
[ 1025] 0, 10677, 3
[ 1592] 0, 7541, 3
[  676] 0, 95187, 3
[ 1642] 0, 95170, 3
[ 1730] 0, 185842, 3
[ 1158] 0, 185286, 3
[  460] 0, 185593, 3
[ 1275] 0, 23009, 3
[ 1485] 0, 22135, 3
[  716] 0, 54654, 3
[  760] 0, 54655, 3
[ 1873] 0, 58841, 3
[ 1152] 0, 178933, 3
[  174] 0, 185857, 3
[ 1884] 0, 1251, 3
[ 1093] 0, 1274, 3
[ 1429] 0, 118529, 3
[ 1128] 0, 7954, 3
[  476] 0, 173642, 3
[ 1939] 0, 147530, 3
[ 1861] 0, 184279, 3
[ 1825] 0, 13301, 3
[   31] 0, 53475, 3
[ 1345] 0, 95171, 3
[  588] 0, 163179, 3
[ 1868] 0, 183061, 3
